Title,Date,URL
Rise in Healthcare Overtime Threatens Patient Safety and Nurse Turnover,18-Aug,https://www.amnhealthcare.com/rise-in-healthcare-overtime/
Nurse Retention Tactics You Need to Know for 2019,19-Feb,https://inbound.hargerhowe.com/blog/nurse-retention-tactics-you-need-to-know-for-2019
Rose Medical Center is Showing Its Staff Some Extra Love,19-Feb,https://www.5280.com/2019/02/rose-medical-center-is-showing-its-staff-some-extra-love/
Nurses Petition Olean General Hospital to Fix 'Staffing Crisis',19-Mar,http://www.oleantimesherald.com/news/nurses-petition-olean-general-hospital-to-fix-staffing-crisis/article_0457d4de-4098-11e9-8b43-e36252e9deb0.html
4 Reasons to Invest in Your Supply Chain in 2019,19-Mar,https://viehealthcare.com/4-reasons-to-invest-in-your-supply-chain-in-2019/
Want to Keep Nurses at the Bedside? Here's How.,19-Mar,https://www.healthleadersmedia.com/nursing/want-keep-nurses-bedside-heres-how
"Reducing Turnover, Increasing Retention",19-Apr,http://www.hrotoday.com/news/talent-acquisition/healthcare-workforce/reducing-turnover-increasing-retention/
The Fiscal Impact of Safe Patient Limits in Illinois,19-Apr,https://illinoisepi.files.wordpress.com/2019/04/ilepi-the-fiscal-impact-of-safe-patient-limits.pdf
"Demographic Trends, PDGM Forcing Home Health Providers to Get Creative About Staffing",19-Apr,https://homehealthcarenews.com/2019/04/demographic-trends-pdgm-forcing-home-health-providers-to-get-creative-about-staffing/
Mentoring for Success: Neurosurgery New Hire RN Mentorship Program,19-Apr,https://www.americannursetoday.com/mentoring-for-success-neurosurgery-new-hire-rn-mentorship-program/
The Impact of Rural Health Funding on the Local Economy,19-Apr,https://hsctc.org/wp-content/uploads/2019/04/The-Impact-of-Rural-Health-Funding-on-the-Economy.pdf
The Future of Nursing Retention,19-May,https://allnurses.com/the-future-nursing-retention-t700137/
Maximizing Data Resources to Drive Staffing Decisions,19-May,https://www.oahhs.org/assets/images/events/Nurse%20Staffing%20Summit%202019/Presentation%207_Mensik_Maximizing%20Data%20Resources.pdf
Taking the Heart Team Staffing Business Seriously,19-May,https://www.dicardiology.com/article/taking-heart-team-staffing-business-seriously
How to Avoid Costly Turnover in Your EMS Service,19-Jun,https://www.ems1.com/recruitment-and-retention/articles/how-to-avoid-costly-turnover-in-your-ems-service-acj7S3FcscPqQxOI/
5 Employee Relations Challenges Confronting Healthcare,19-Jun,https://www.hracuity.com/blog/5-employee-relations-challenges-confronting-healthcare
Hospital Turnover in 2018: The Trend Continues,19-Jun,https://www.hospitalrecruiting.com/blog/5729/hospital-turnover-in-2018-the-trend-continues/
Top 5 Things Nurses Need to Address Nursing Shortage,19-Jul,https://www.nursingcenter.com/ncblog/july-2019/top-5-things-nurses-need-to-address-nursing-shorta
The Business Case for Becoming a Nurse Leader Coach,19-Jul,https://www.rn.com/career-development/nurse-leader-coach/
"Millennial Nurses Need Patient Connection to Thrive Professionally, Researcher Says",19-Aug,https://www.psqh.com/analysis/millennial-nurses-need-patient-connection-to-thrive-professionally-researcher-says/
3 Ways to Increase Retention in Your Sterile Processing Department,19-Aug,https://www.moabsterilizationstaffing.com/2019/08/07/increase-retention-sterile-processing-department/
"When Addressing Nursing Shortage, Look to Your Own Ranks First",19-Aug,https://realeconomy.rsmus.com/when-addressing-nursing-shortage-look-to-your-own-ranks-first/
Combating Turnover with Creative Solutions in Healthcare,19-Sep,http://westalabamaworks.com/combating-turnover-with-creative-solutions-in-healthcare/
Florida Nurse Demand Report Four Years Out of Date,19-Sep,https://www.dailycommercial.com/news/20190906/florida-nurse-demand-report-four-years-out-of-date
Underlying Illness: Health Care's Retention Problem and How to Cure It,19-Sep,https://www.ets.org/job-readiness/articles/healthcare-retention
Physician Retention Strategies & Challenges,19-Sep,https://www.carevoyance.com/blog/physician-retention-strategies
Building a Culture of Engagement in Today's Healthcare Industry,19-Sep,https://www.springbornstaffing.com/2019/09/12/building-a-culture-of-engagement-in-todays-healthcare-industry/
Can Healthcare Providers Design a Cost-Cutting Program That Their People Will Love? We Say Yes.,19-Sep,https://medium.com/the-slalom-daily-dose/can-healthcare-providers-design-a-cost-cutting-program-that-their-people-will-love-7be25956d910
Using Leadership Power Wisely,19-Sep,https://www.americannursetoday.com/using-leadership-power-wisely/
Nurse Ready Program Clears Obstacles for Nursing Students,19-Oct,https://www.swvatoday.com/news/article_52b91636-cc94-57ce-99d8-b51020bc8995.html
Healthcare Turnover Rates in 2018,19-Nov,https://business.dailypay.com/blog/employee-turnover-rates-in-the-healthcare-industry
